season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2016,KIA,team_pitcher,5,0.29,4.97,144,,,785,1456,230,23,131,,,75,54,561,18,59,965,,,,,,,,70,73,38,74,0.49,1276,705,1.58,7,5,58,21,5771,22527,69,7,,,,,,,,,,,,,
2016,LG,team_pitcher,6,0.284,5.04,144,,,807,1426,243,23,122,,,64,56,539,27,109,909,,,,,,,,71,71,34,75,0.5,1287 2/3,721,1.53,2,5,53,16,5782,22100,84,1,,,,,,,,,,,,,
2016,롯데,team_pitcher,7,0.297,5.63,144,,,865,1486,276,32,161,,,60,52,585,27,78,1009,,,,,,,,66,78,27,59,0.458,1266 1/3,792,1.64,2,5,50,18,5785,22761,82,5,,,,,,,,,,,,,
2016,삼성,team_pitcher,8,0.296,5.64,144,,,869,1507,251,20,193,,,59,43,518,6,87,935,,,,,,,,65,78,34,60,0.455,1282 1/3,804,1.58,2,4,49,18,5799,22623,52,8,,,,,,,,,,,,,
2016,한화,team_pitcher,9,0.299,5.76,144,,,908,1520,230,15,155,,,81,59,634,23,76,976,,,,,,,,66,75,24,39,0.468,1292 2/3,827,1.67,1,2,25,13,5937,23157,72,6,,,,,,,,,,,,,
2016,KT,team_pitcher,10,0.31,5.92,144,,,927,1593,315,38,145,,,73,45,560,9,84,980,,,,,,,,53,89,27,48,0.373,1273,838,1.69,1,2,38,15,5896,23328,77,9,,,,,,,,,,,,,
2017,LG,team_pitcher,1,0.266,4.3,144,,,677,1305,249,29,124,,,57,54,379,31,102,1040,,,,,,,,69,72,32,66,0.489,1279,611,1.32,4,6,62,18,5507,21107,81,3,,,,,,,,,,,,,
2017,두산,team_pitcher,2,0.28,4.38,144,,,678,1405,234,31,125,,,77,39,464,11,87,956,,,,,,,,84,57,35,46,0.596,1288,627,1.45,3,9,69,13,5682,22169,54,4,,,,,,,,,,,,,
2017,롯데,team_pitcher,3,0.273,4.56,144,,,701,1357,245,20,162,,,51,50,477,25,79,1096,,,,,,,,80,62,39,59,0.563,1287 1/3,652,1.42,1,10,61,21,5634,21978,67,7,,,,,,,,,,,,,
2017,NC,team_pitcher,4,0.269,4.71,144,,,745,1342,208,9,169,,,63,29,470,12,93,1097,,,,,,,,79,62,32,51,0.56,1284 2/3,673,1.41,1,10,48,11,5640,22176,93,3,,,,,,,,,,,,,
2017,KIA,team_pitcher,5,0.295,4.79,144,,,743,1518,255,21,137,,,52,46,434,22,77,985,,,,,,,,87,56,33,46,0.608,1290,687,1.51,5,5,75,18,5748,22223,69,4,,,,,,,,,,,,,
2017,SSG,team_pitcher,6,0.288,5.02,144,,,767,1443,271,17,154,,,58,36,481,35,105,940,,,,,,,,75,68,30,64,0.524,1270 2/3,709,1.51,2,4,57,24,5692,21752,61,7,,,,,,,,,,,,,
2017,넥센,team_pitcher,7,0.292,5.03,144,,,764,1488,280,21,149,,,47,40,388,10,97,1005,,,,,,,,69,73,40,66,0.486,1271,710,1.48,2,5,60,18,5663,21258,56,3,,,,,,,,,,,,,
2017,한화,team_pitcher,8,0.293,5.28,144,,,820,1474,278,16,166,,,71,57,446,13,100,914,,,,,,,,61,81,31,49,0.43,1273,747,1.51,1,5,54,21,5698,22066,77,4,,,,,,,,,,,,,
2017,KT,team_pitcher,9,0.301,5.75,144,,,876,1524,283,27,174,,,68,49,433,11,95,913,,,,,,,,50,94,22,41,0.347,1256,803,1.56,4,7,49,18,5702,21518,77,6,,,,,,,,,,,,,
2017,삼성,team_pitcher,10,0.3,5.88,144,,,911,1541,281,28,187,,,56,59,548,15,118,1063,,,,,,,,55,84,27,34,0.396,1281 1/3,837,1.63,1,3,43,12,5916,23196,74,4,,,,,,,,,,,,,
2018,SSG,team_pitcher,1,0.271,4.67,144,,,729,1353,232,17,189,,,39,24,425,15,74,1130,,,,,,,,78,65,29,63,0.545,1274 2/3,662,1.39,0,7,60,21,5563,21347,62,2,,,,,,,,,,,,,
2018,한화,team_pitcher,2,0.279,4.93,144,,,761,1394,246,13,164,,,29,46,472,9,89,1124,,,,,,,,77,67,37,62,0.535,1274,698,1.46,0,5,45,13,5637,22342,78,7,,,,,,,,,,,,,
2018,두산,team_pitcher,3,0.279,4.98,144,,,756,1401,266,16,154,,,42,43,476,17,109,1025,,,,,,,,93,51,41,56,0.646,1288 2/3,713,1.46,1,9,73,17,5700,21946,72,2,,,,,,,,,,,,,
2018,넥센,team_pitcher,4,0.285,5.08,144,,,780,1442,252,18,178,,,41,33,416,13,98,1021,,,,,,,,75,69,32,72,0.521,1282,723,1.45,4,2,63,23,5646,21381,59,4,,,,,,,,,,,,,
2018,삼성,team_pitcher,5,0.289,5.19,144,,,802,1477,291,18,185,,,40,43,441,10,107,1114,,,,,,,,68,72,33,56,0.486,1285 1/3,741,1.49,0,5,58,17,5740,22530,45,5,,,,,,,,,,,,,
2018,LG,team_pitcher,6,0.285,5.29,144,,,816,1434,266,19,159,,,45,50,453,13,89,1058,,,,,,,,68,75,29,43,0.476,1268 2/3,746,1.49,3,7,64,17,5677,21711,72,4,,,,,,,,,,,,,
2018,KT,team_pitcher,7,0.307,5.34,144,,,834,1580,272,23,194,,,56,43,409,25,84,1025,,,,,,,,59,82,24,45,0.418,1274 1/3,756,1.56,4,5,59,18,5743,21948,63,1,,,,,,,,,,,,,
2018,롯데,team_pitcher,8,0.279,5.37,144,,,846,1410,295,26,166,,,63,43,548,23,73,1164,,,,,,,,68,74,29,64,0.479,1283 2/3,766,1.53,0,6,43,22,5788,22871,65,7,,,,,,,,,,,,,
2018,KIA,team_pitcher,9,0.297,5.4,144,,,826,1511,271,17,181,,,47,51,445,28,69,1017,,,,,,,,70,74,26,43,0.486,1270 2/3,763,1.54,4,5,50,20,5708,21852,65,3,,,,,,,,,,,,,
2018,NC,team_pitcher,10,0.289,5.48,144,,,844,1443,248,20,186,,,45,51,537,17,68,1010,,,,,,,,58,85,24,51,0.406,1264,769,1.57,1,4,45,20,5701,22506,92,6,,,,,,,,,,,,,
2019,SSG,team_pitcher,1,0.254,3.48,144,,,546,1240,176,14,99,,,48,44,436,12,50,1092,,,,,,,,88,55,51,92,0.615,1292 1/3,500,1.3,0,19,78,8,5463,20930,50,4,,,,,,,,,,,,,
2019,두산,team_pitcher,2,0.257,3.51,144,,,550,1259,231,22,78,,,41,53,380,22,70,860,,,,,,,,88,55,44,69,0.615,1283 2/3,500,1.28,3,10,81,16,5434,20630,48,5,,,,,,,,,,,,,
2019,키움,team_pitcher,3,0.263,3.61,144,,,572,1293,244,24,61,,,42,39,371,3,58,984,,,,,,,,86,57,39,91,0.601,1279,513,1.3,2,12,76,11,5427,20160,45,6,,,,,,,,,,,,,
2019,LG,team_pitcher,4,0.258,3.86,144,,,633,1257,223,23,89,,,40,48,499,15,91,953,,,,,,,,79,64,43,62,0.552,1283 1/3,551,1.37,1,9,73,13,5555,20969,64,1,,,,,,,,,,,,,
2019,NC,team_pitcher,5,0.262,4.01,144,,,631,1285,199,19,103,,,41,54,483,10,92,991,,,,,,,,73,69,32,68,0.514,1284 1/3,572,1.38,5,8,60,17,5578,21407,68,2,,,,,,,,,,,,,
2019,KT,team_pitcher,6,0.266,4.29,144,,,661,1303,225,25,118,,,47,42,481,17,61,848,,,,,,,,71,71,37,59,0.5,1277,608,1.4,2,10,62,9,5533,20662,50,6,,,,,,,,,,,,,
2019,삼성,team_pitcher,7,0.269,4.64,144,,,731,1332,253,37,125,,,40,56,523,9,70,924,,,,,,,,60,83,29,60,0.42,1275 1/3,658,1.45,4,8,54,15,5638,21721,49,5,,,,,,,,,,,,,
2019,KIA,team_pitcher,8,0.276,4.65,144,,,723,1362,257,24,101,,,35,61,504,17,76,976,,,,,,,,62,80,30,64,0.437,1264,653,1.48,3,11,59,13,5614,21353,51,2,,,,,,,,,,,,,
2019,한화,team_pitcher,9,0.283,4.8,144,,,737,1407,238,19,120,,,44,44,526,9,72,934,,,,,,,,58,86,28,43,0.403,1268 2/3,677,1.52,2,8,48,17,5656,21848,66,4,,,,,,,,,,,,,
2019,롯데,team_pitcher,10,0.282,4.83,144,,,764,1407,242,20,120,,,58,64,546,33,71,1033,,,,,,,,48,93,16,47,0.34,1271,682,1.54,1,8,47,17,5729,21946,103,4,,,,,,,,,,,,,
2020,두산,team_pitcher,1,0.276,4.31,144,,,695,1395,258,25,109,,,48,41,478,22,61,1046,,,,,,,,79,61,23,45,0.564,1285 2/3,616,1.46,1,13,63,15,5681,22408,52,4,,,,,,,,,,,,,
2020,LG,team_pitcher,2,0.27,4.37,144,,,694,1344,240,17,123,,,38,56,493,12,86,1019,,,,,,,,79,61,29,67,0.564,1292 2/3,627,1.42,2,13,70,19,5655,21725,49,4,,,,,,,,,,,,,
2020,키움,team_pitcher,3,0.27,4.39,144,,,692,1336,208,15,126,,,50,39,446,16,73,950,,,,,,,,80,63,42,81,0.559,1280 1/3,624,1.39,0,6,53,18,5556,21349,51,7,,,,,,,,,,,,,
2020,KT,team_pitcher,4,0.271,4.54,144,,,715,1357,227,9,118,,,45,48,523,20,59,848,,,,,,,,81,62,33,71,0.566,1290 1/3,651,1.46,0,5,56,23,5680,21496,75,1,,,,,,,,,,,,,
2020,NC,team_pitcher,5,0.26,4.58,144,,,714,1292,199,15,153,,,53,35,547,10,79,1049,,,,,,,,83,55,31,88,0.601,1296 2/3,660,1.42,0,7,59,19,5690,22362,65,7,,,,,,,,,,,,,
2020,롯데,team_pitcher,6,0.271,4.64,144,,,720,1351,241,17,143,,,51,40,447,25,58,1002,,,,,,,,71,72,25,59,0.497,1277 1/3,659,1.41,1,16,59,18,5583,21520,62,4,,,,,,,,,,,,,
2020,삼성,team_pitcher,7,0.27,4.78,144,,,745,1330,222,16,151,,,50,47,542,16,67,931,,,,,,,,64,75,25,80,0.46,1272 1/3,676,1.47,3,11,53,19,5634,22269,55,5,,,,,,,,,,,,,
2020,KIA,team_pitcher,8,0.284,5.13,144,,,795,1399,265,34,120,,,59,59,559,8,70,1038,,,,,,,,73,71,33,79,0.507,1270,724,1.54,1,5,57,18,5681,22134,78,4,,,,,,,,,,,,,
2020,한화,team_pitcher,9,0.282,5.28,144,,,820,1400,240,18,158,,,51,57,609,22,79,1019,,,,,,,,46,95,21,54,0.326,1265,742,1.59,1,6,40,15,5756,22882,76,5,,,,,,,,,,,,,
2020,SSG,team_pitcher,10,0.275,5.57,144,,,846,1343,225,17,162,,,41,46,670,12,84,953,,,,,,,,51,92,20,53,0.357,1259 1/3,780,1.6,1,3,47,19,5727,22729,85,5,,,,,,,,,,,,,
2021,LG,team_pitcher,1,0.238,3.57,144,,,561,1126,197,18,80,,,45,43,545,18,98,1068,,,,,,,,72,58,32,81,0.554,1272 1/3,505,1.31,0,18,50,14,5453,21456,43,5,,,,,,,,,,,,,
2021,KT,team_pitcher,2,0.246,3.67,144,,,584,1176,184,13,86,,,46,48,489,18,42,1062,,,,,,,,76,59,33,74,0.563,1264,515,1.32,2,6,76,16,5397,20893,56,1,,,,,,,,,,,,,
2021,두산,team_pitcher,3,0.267,4.26,144,,,656,1295,212,21,104,,,61,61,587,16,73,1045,,,,,,,,71,65,28,61,0.522,1269 1/3,601,1.48,2,10,55,15,5631,22163,52,7,,,,,,,,,,,,,
2021,삼성,team_pitcher,4,0.266,4.3,144,,,658,1297,230,24,131,,,45,36,530,13,51,1038,,,,,,,,76,59,46,80,0.563,1259,601,1.45,2,14,66,13,5536,21926,58,3,,,,,,,,,,,,,
2021,키움,team_pitcher,5,0.264,4.31,144,,,700,1281,223,7,101,,,55,48,566,27,80,900,,,,,,,,70,67,30,56,0.511,1263 1/3,605,1.46,1,7,57,16,5599,21670,59,4,,,,,,,,,,,,,
2021,NC,team_pitcher,6,0.26,4.54,144,,,697,1268,231,15,125,,,34,41,592,14,77,1055,,,,,,,,67,68,33,80,0.496,1256 2/3,634,1.48,3,10,53,18,5622,22346,75,8,,,,,,,,,,,,,
2021,한화,team_pitcher,7,0.252,4.65,144,,,739,1208,223,19,115,,,46,63,673,23,101,1011,,,,,,,,49,83,21,62,0.371,1258 2/3,650,1.49,1,6,41,19,5672,22852,56,11,,,,,,,,,,,,,
2021,SSG,team_pitcher,8,0.265,4.82,144,,,741,1296,214,14,149,,,54,50,629,27,78,1012,,,,,,,,66,64,25,56,0.508,1276 2/3,684,1.51,0,5,42,24,5706,22459,41,9,,,,,,,,,,,,,
2021,KIA,team_pitcher,9,0.265,4.89,144,,,752,1286,214,16,134,,,58,63,622,5,104,951,,,,,,,,58,76,36,94,0.433,1269,690,1.5,1,6,39,16,5701,22375,59,9,,,,,,,,,,,,,
2021,롯데,team_pitcher,10,0.271,5.37,144,,,808,1333,253,16,133,,,53,40,659,19,87,1054,,,,,,,,65,71,37,76,0.478,1271,758,1.57,1,12,46,15,5759,22835,102,5,,,,,,,,,,,,,
2022,LG,team_pitcher,1,0.245,3.33,144,,,521,1179,166,34,94,,,56,46,451,27,59,1031,,,,,,,,87,55,43,107,0.613,1288,476,1.27,0,16,59,15,5432,20918,49,0,,,,,,,,,,,,,
2022,KT,team_pitcher,2,0.254,3.51,144,,,562,1243,188,19,92,,,54,38,364,22,63,1074,,,,,,,,80,62,37,65,0.563,1287 1/3,502,1.25,1,8,81,13,5405,20356,43,3,,,,,,,,,,,,,
2022,키움,team_pitcher,3,0.254,3.79,144,,,610,1247,259,15,96,,,66,42,490,18,70,1010,,,,,,,,80,62,48,84,0.563,1296 1/3,546,1.34,2,19,71,18,5579,21568,51,1,,,,,,,,,,,,,
2022,SSG,team_pitcher,4,0.248,3.87,144,,,622,1223,174,17,130,,,53,33,457,18,65,1023,,,,,,,,88,52,45,68,0.629,1301 1/3,560,1.29,1,10,78,23,5533,21355,75,2,,,,,,,,,,,,,
2022,NC,team_pitcher,5,0.252,3.9,144,,,642,1230,218,18,111,,,60,42,515,10,98,1168,,,,,,,,67,74,25,54,0.475,1286 2/3,557,1.36,0,11,58,15,5604,22069,80,5,,,,,,,,,,,,,
2022,KIA,team_pitcher,6,0.261,4.2,144,,,679,1286,233,22,120,,,75,45,526,20,67,1042,,,,,,,,70,73,38,74,0.49,1279 2/3,597,1.42,0,7,64,18,5636,21803,56,2,,,,,,,,,,,,,
2022,삼성,team_pitcher,7,0.272,4.29,144,,,695,1370,251,15,129,,,62,34,478,22,66,971,,,,,,,,66,76,34,71,0.465,1287,613,1.44,1,6,63,21,5678,22174,47,3,,,,,,,,,,,,,
2022,두산,team_pitcher,8,0.269,4.45,144,,,721,1336,206,19,117,,,57,48,555,11,70,977,,,,,,,,60,82,32,68,0.423,1279 1/3,632,1.48,0,7,54,18,5700,22437,69,5,,,,,,,,,,,,,
2022,롯데,team_pitcher,9,0.274,4.45,144,,,712,1373,257,22,84,,,64,37,492,21,80,1199,,,,,,,,64,76,34,69,0.457,1280 2/3,633,1.46,0,13,58,13,5686,21932,72,1,,,,,,,,,,,,,
2022,한화,team_pitcher,10,0.268,4.83,144,,,759,1314,268,22,112,,,63,57,602,39,83,974,,,,,,,,46,96,25,81,0.324,1268 1/3,680,1.51,1,9,37,25,5710,22412,65,4,,,,,,,,,,,,,
2023,LG,team_pitcher,1,0.256,3.67,144,,,610,1266,215,17,74,,,64,42,491,15,76,977,,,,,,,,86,56,37,92,0.606,1293 1/3,527,1.36,0,9,50,18,5619,21814,47,5,,,,,,,,,,,,,
2023,NC,team_pitcher,2,0.241,3.83,144,,,617,1160,179,24,99,,,63,42,513,6,62,1090,,,,,,,,75,67,33,88,0.528,1281 1/3,545,1.31,0,14,53,17,5493,21941,58,3,,,,,,,,,,,,,
2023,두산,team_pitcher,3,0.255,3.92,144,,,625,1245,239,17,90,,,79,39,501,12,82,1013,,,,,,,,74,68,41,70,0.521,1284 2/3,560,1.36,0,9,64,17,5582,22142,60,3,,,,,,,,,,,,,
2023,KT,team_pitcher,4,0.268,3.94,144,,,616,1326,213,22,83,,,81,54,413,22,50,968,,,,,,,,79,62,39,61,0.56,1287,564,1.35,0,12,64,14,5542,20672,63,4,,,,,,,,,,,,,
2023,KIA,team_pitcher,5,0.258,4.13,144,,,650,1244,220,25,89,,,67,45,564,20,59,980,,,,,,,,73,69,33,66,0.514,1269,583,1.42,1,8,46,10,5558,21710,55,4,,,,,,,,,,,,,
2023,롯데,team_pitcher,6,0.27,4.15,144,,,660,1328,223,24,80,,,72,55,532,20,82,1070,,,,,,,,68,76,35,82,0.472,1272 1/3,586,1.46,1,10,66,21,5653,22286,71,2,,,,,,,,,,,,,
2023,SSG,team_pitcher,7,0.275,4.37,144,,,698,1354,216,14,104,,,59,52,612,20,67,974,,,,,,,,76,65,46,71,0.539,1288 1/3,626,1.53,1,7,57,21,5722,22881,61,3,,,,,,,,,,,,,
2023,한화,team_pitcher,8,0.261,4.38,144,,,708,1292,241,34,101,,,60,48,518,23,103,1037,,,,,,,,58,80,20,68,0.42,1291 2/3,628,1.4,0,8,40,24,5682,22355,73,7,,,,,,,,,,,,,
2023,키움,team_pitcher,9,0.269,4.42,144,,,710,1340,237,23,84,,,62,57,532,18,63,962,,,,,,,,58,83,33,61,0.411,1288 1/3,632,1.45,1,11,68,24,5704,21903,56,7,,,,,,,,,,,,,
2023,삼성,team_pitcher,10,0.28,4.6,144,,,728,1414,238,22,120,,,66,51,464,19,52,899,,,,,,,,61,82,38,69,0.427,1278 1/3,654,1.47,1,5,63,17,5676,22135,51,7,,,,,,,,,,,,,
2024,KIA,team_pitcher,1,0.269,4.4,144,,,759,1365,238,20,141,,,33,34,539,13,85,1125,,,,,,,,87,55,44,89,0.613,1288,629,1.48,4,7,40,20,5771,22472,51,3,,,,,,,,,,,,,
2024,LG,team_pitcher,2,0.276,4.63,144,,,728,1375,219,11,126,,,49,57,529,10,80,1082,,,,,,,,76,66,34,65,0.535,1277,657,1.49,2,6,58,20,5696,22197,68,4,,,,,,,,,,,,,
2024,삼성,team_pitcher,3,0.276,4.68,144,,,719,1384,225,23,164,,,47,62,477,18,81,980,,,,,,,,78,64,41,116,0.549,1282 2/3,667,1.45,2,11,47,25,5684,22342,58,2,,,,,,,,,,,,,
2024,두산,team_pitcher,4,0.267,4.82,144,,,748,1332,225,31,135,,,55,42,585,11,92,1083,,,,,,,,74,68,41,87,0.521,1283 2/3,688,1.49,1,6,42,20,5767,22955,67,4,,,,,,,,,,,,,
2024,한화,team_pitcher,5,0.285,4.98,144,,,780,1437,235,25,128,,,48,49,511,10,76,1130,,,,,,,,66,76,26,68,0.465,1274 2/3,706,1.53,0,10,45,19,5720,22519,66,4,,,,,,,,,,,,,
2024,NC,team_pitcher,6,0.279,5.0,144,,,801,1389,268,24,137,,,58,58,531,9,67,1061,,,,,,,,61,81,22,65,0.43,1275 2/3,708,1.51,0,7,54,15,5694,22277,47,6,,,,,,,,,,,,,
2024,롯데,team_pitcher,7,0.285,5.05,144,,,791,1442,254,20,139,,,52,55,523,18,75,1131,,,,,,,,66,74,30,58,0.471,1280 2/3,719,1.53,1,6,57,27,5767,22487,81,3,,,,,,,,,,,,,
2024,KT,team_pitcher,8,0.284,5.11,144,,,804,1448,259,35,155,,,49,65,443,22,65,1118,,,,,,,,72,70,28,50,0.507,1284 1/3,729,1.47,0,5,48,18,5721,21723,57,5,,,,,,,,,,,,,
2024,키움,team_pitcher,9,0.282,5.16,144,,,796,1416,260,26,150,,,43,64,497,15,88,921,,,,,,,,58,86,23,48,0.403,1272 2/3,729,1.5,0,3,57,16,5708,21556,64,7,,,,,,,,,,,,,
2024,SSG,team_pitcher,10,0.271,5.25,144,,,814,1341,198,14,163,,,48,42,630,24,74,1195,,,,,,,,72,70,33,80,0.507,1269 2/3,740,1.55,0,8,40,19,5737,22705,57,4,,,,,,,,,,,,,
2025,한화,team_pitcher,1,0.244,3.55,144,,,554,1185,215,27,102,,,43,40,450,14,93,1339,,,,,,,,83,57,41,57,0.593,1290 1/3,509,1.27,1,13,68,16,5478,21746,60,9,,,,,,,,,,,,,
2025,SSG,team_pitcher,2,0.244,3.63,144,,,576,1164,173,9,115,,,62,38,510,23,78,1193,,,,,,,,75,65,36,102,0.536,1283 1/3,517,1.3,1,9,45,14,5463,21584,56,1,,,,,,,,,,,,,
2025,LG,team_pitcher,3,0.254,3.79,144,,,584,1236,227,19,91,,,50,38,491,12,62,1080,,,,,,,,85,56,42,77,0.603,1279 1/3,539,1.35,1,11,69,15,5508,21562,44,2,,,,,,,,,,,,,
2025,KT,team_pitcher,4,0.273,4.09,144,,,657,1362,221,21,112,,,60,39,433,25,58,1067,,,,,,,,71,68,37,60,0.511,1278 1/3,581,1.4,1,10,74,13,5584,21031,61,6,,,,,,,,,,,,,
2025,삼성,team_pitcher,5,0.259,4.12,144,,,647,1257,211,17,132,,,73,43,455,16,70,1048,,,,,,,,74,68,25,76,0.521,1268 2/3,581,1.35,3,10,59,19,5491,21229,45,1,,,,,,,,,,,,,
2025,두산,team_pitcher,6,0.253,4.3,144,,,686,1227,223,23,109,,,72,47,542,23,99,1054,,,,,,,,61,77,29,69,0.442,1280,612,1.38,0,7,52,29,5605,22028,72,1,,,,,,,,,,,,,
2025,KIA,team_pitcher,7,0.268,4.66,144,,,734,1316,244,21,110,,,59,55,511,19,84,1058,,,,,,,,65,75,30,82,0.464,1274 2/3,660,1.43,1,6,58,21,5616,21595,53,2,,,,,,,,,,,,,
2025,롯데,team_pitcher,8,0.27,4.75,144,,,749,1351,265,22,128,,,54,50,560,11,73,1173,,,,,,,,66,72,36,69,0.478,1280,676,1.49,0,7,52,20,5747,22224,69,5,,,,,,,,,,,,,
2025,NC,team_pitcher,9,0.262,4.82,144,,,766,1279,206,20,146,,,59,47,621,31,97,1075,,,,,,,,71,67,39,103,0.514,1270,680,1.5,1,10,38,18,5704,22650,95,4,,,,,,,,,,,,,
2025,키움,team_pitcher,10,0.287,5.39,144,,,860,1447,258,29,146,,,62,54,550,13,92,937,,,,,,,,47,93,31,55,0.336,1269,760,1.57,0,6,47,20,5800,22200,66,4,,,,,,,,,,,,,
